,open,high,low,close,volume
2013-10-02 15:21:14.400,1436.0,1436.0,1436.0,1436.0,25.0
2013-10-02 15:21:14.700,1436.0,1436.0,1436.0,1436.0,25.0
2013-10-02 15:21:14.900,1436.0,1436.0,1436.0,1436.0,25.0
2013-10-02 15:21:15.100,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:15.200,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:15.600,1436.0,1436.0,1436.0,1436.0,3.0
2013-10-02 15:21:16.000,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:16.300,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:16.500,1436.0,1436.0,1436.0,1436.0,6.0
2013-10-02 15:21:16.600,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:17.000,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:17.400,1436.0,1436.0,1436.0,1436.0,4.0
2013-10-02 15:21:17.500,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:18.600,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:19.300,1436.0,1436.0,1436.0,1436.0,3.0
2013-10-02 15:21:19.400,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:21:19.600,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:21:19.700,1436.0,1436.0,1436.0,1436.0,50.0
2013-10-02 15:21:20.200,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:20.400,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:20.500,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:20.600,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:20.900,1436.0,1436.0,1436.0,1436.0,3.0
2013-10-02 15:21:21.100,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:22.400,1436.0,1436.0,1436.0,1436.0,3.0
2013-10-02 15:21:22.500,1436.0,1436.0,1436.0,1436.0,25.0
2013-10-02 15:21:22.600,1436.0,1436.0,1436.0,1436.0,5.0
2013-10-02 15:21:23.100,1435.75,1435.75,1435.75,1435.75,4.0
2013-10-02 15:21:23.200,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:21:23.400,1436.0,1436.0,1436.0,1436.0,26.0
2013-10-02 15:21:23.500,1436.0,1436.0,1436.0,1436.0,30.0
2013-10-02 15:21:24.100,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:24.200,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:21:24.400,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:25.200,1436.0,1436.0,1436.0,1436.0,168.0
2013-10-02 15:21:25.300,1436.0,1436.0,1436.0,1436.0,63.0
2013-10-02 15:21:25.400,1436.0,1436.0,1436.0,1436.0,112.0
2013-10-02 15:21:25.500,1436.0,1436.0,1436.0,1436.0,24.0
2013-10-02 15:21:25.700,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:21:26.000,1436.0,1436.0,1436.0,1436.0,6.0
2013-10-02 15:21:26.500,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:26.600,1436.0,1436.0,1436.0,1436.0,3.0
2013-10-02 15:21:27.100,1435.75,1436.0,1435.75,1436.0,10.0
2013-10-02 15:21:27.300,1436.0,1436.0,1436.0,1436.0,20.0
2013-10-02 15:21:28.000,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:28.300,1436.0,1436.0,1436.0,1436.0,3.0
2013-10-02 15:21:28.400,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:29.600,1436.0,1436.0,1436.0,1436.0,11.0
2013-10-02 15:21:30.000,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:30.200,1436.0,1436.0,1436.0,1436.0,344.0
2013-10-02 15:21:30.600,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:21:30.900,1436.0,1436.0,1436.0,1436.0,3.0
2013-10-02 15:21:31.000,1436.0,1436.0,1436.0,1436.0,11.0
2013-10-02 15:21:31.400,1436.25,1436.25,1436.25,1436.25,11.0
2013-10-02 15:21:31.800,1436.0,1436.0,1436.0,1436.0,5.0
2013-10-02 15:21:32.100,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:21:32.200,1436.0,1436.0,1436.0,1436.0,5.0
2013-10-02 15:21:32.700,1436.25,1436.25,1436.25,1436.25,1.0
2013-10-02 15:21:32.900,1436.25,1436.25,1436.25,1436.25,5.0
